"Source:","/Users/adampaul/Local Documents/Observatory/observatory_pcbs/Control Box/Control Box.kicad_sch"
"Date:","2024 February 09, Friday 06:22:52"
"Tool:","Eeschema 7.0.8"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","158"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Sim.Device","Sim.Pins"
"1","1","A1","Arduino_UNO_R3","MCU_Module:Arduino_UNO_R3","Module:Arduino_UNO_R3","https://www.arduino.cc/en/Main/arduinoBoardUno","","","","","","","","","","",""
"2","1","C2","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","",""
"3","12","D1, D2, D11, D12, D15, D16, D19, D20, D27, D28, D39, D40","LG R971-KN-1","Device:LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","","","","","","","","","","",""
"4","8","D3, D4, D13, D14, D17, D18, D21, D22","1N4148W-TP","Diode:1N4148W","Diode_SMD:D_SOD-123","https://www.vishay.com/docs/85748/1n4148w.pdf","","","","","","","","","","D","1=K 2=A"
"5","8","D5, D6, D7, D8, D9, D10, D41, D42","SMP5.0A-M3/84A","SMP3V3-M3_84A:SMP3V3-M3_84A","SMP3V3-M3_84A:DO-220AA","http://www.vishay.com/docs/88481/smp3v3.pdf","","SMP3V3-M3/84A","https://www.arrow.com/en/products/smp3v3-m384a/vishay?region=nac","Vishay SMP3V3-M3/84A Uni-Directional TVS Diode, 400W peak, 2-Pin DO-220AA","","Vishay","SMP3V3-M3/84A","625-SMP3V3-M3","https://www.mouser.co.uk/ProductDetail/Vishay-General-Semiconductor/SMP3V3-M3-84A?qs=2u8eEi%2F8yFXPX04IcnUiGQ%3D%3D","",""
"6","4","D23, D24, D25, D26","DMG2305UX-13","DMG2305UX-13:DMG2305UX-13","DMG2305UX-13:SOT96P240X120-3N","https://componentsearchengine.com/Datasheets/2/DMG2305UX-13.pdf","","DMG2305UX-13","https://www.arrow.com/en/products/dmg2305ux-13/diodes-incorporated?region=nac","","1.2","Diodes Incorporated","DMG2305UX-13","621-DMG2305UX-13","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DMG2305UX-13?qs=L1DZKBg7t5Hgw5KN3G2IRg%3D%3D","",""
"7","1","F1","3568","3568:3568","3568:3568","https://www.mouser.com/datasheet/2/215/3568-742601.pdf","","3568","https://www.arrow.com/en/products/3568/keystone-electronics?region=europe","Fuse Holder 30A 500V 1 Circuit Blade Through Hole","7.5","Keystone Electronics","3568","534-3568","https://www.mouser.co.uk/ProductDetail/Keystone-Electronics/3568?qs=fP5bVVCrK%2Fd7nbA%2FPpwnKw%3D%3D","",""
"8","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~","","","","","","","","","","",""
"9","2","IC1, IC2","SN74LVC1G32DCKR","SN74LVC1G32DCKR:SN74LVC1G32DCKR","SN74LVC1G32DCKR:SOT65P210X110-5N","http://www.ti.com/lit/gpn/sn74lvc1g32","","SN74LVC1G32DCKR","https://www.arrow.com/en/products/sn74lvc1g32dckr/texas-instruments?region=nac","","1.1","Texas Instruments","SN74LVC1G32DCKR","595-SN74LVC1G32DCKR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC1G32DCKR?qs=rshUhwi3fbYur8p35NB%252BLQ%3D%3D","",""
"10","2","J1, J7","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal","~","","","","","","","","","","",""
"11","2","J2, J3","Screw_Terminal_01x08","Connector:Screw_Terminal_01x08","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-8-5.0-H_1x08_P5.00mm_Horizontal","~","","","","","","","","","","",""
"12","2","J4, J6","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal","~","","","","","","","","","","",""
"13","20","JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9, JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP17, JP18, JP19, JP20","Jumper","Device:Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","","","","","","","","",""
